"Page","Source","Review priority","Status","Direct imports","Next acceptance checks"
"CountryComparison","src/pages/CountryComparison.jsx","P2 workflow review","Not end-to-end verified","react; ../contexts/LanguageContext; ../contexts/SettingsContext; ../lib/supabase; react-chartjs-2; chart.js; lucide-react; ../components/ui/PageHeader; ../components/ui/EnterpriseTable; ../hooks/useReportMeta; ../lib/formatters; ../lib/fetchAll; ../lib/analyticsEngine; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"CpkIntelligence","src/pages/CpkIntelligence.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../components/ui/DateField; ../contexts/SettingsContext; ../lib/api/fleetCpk; ../lib/api/tyrePriceBackfill; ../lib/api/cpkDrivers; ../lib/api/brandSizeCpk; ../lib/cpkModule; ../lib/fleetCpkView; ../lib/exportUtils; ../components/cpk/CpkDataTable; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"CustomData","src/pages/CustomData.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; ../lib/supabase; ../lib/api/customData; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/formatters; ../lib/safeError; lucide-react; ../components/ui/PageHeader; ../components/ui/TablePagination","Exercise primary action, denied access, scope change, error/retry and filtered export."
"CustomerPortal","src/pages/CustomerPortal.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/customerPortal; ../lib/customerPortal; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Customers","src/pages/Customers.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/customers; ../lib/customers; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"CustomRolesManager","src/pages/CustomRolesManager.jsx","P1 candidate","Not end-to-end verified","react; ../components/ui/TablePagination; lucide-react; ../contexts/AuthContext; ../lib/moduleCatalog; ../components/Layout; ../lib/safeError; ../lib/api/customRoles; ../lib/api/_client","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"DailyOps","src/pages/DailyOps.jsx","P1 candidate","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/api/dailyOps; ../contexts/SettingsContext; ../contexts/TenantContext; ../lib/exportUtils; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/ui/TablePagination; ../contexts/LanguageContext; ../lib/dailyOpsPriority; ../lib/api/actionCenter; ../lib/api/operationalWorkflow; ../contexts/AuthContext","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Dashboard","src/pages/Dashboard.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; framer-motion; ../lib/api; ../lib/fetchAll; ../lib/api/pmPrograms; ../lib/api/workshopLive; ../lib/api/governedCost; ../lib/useLatestRequest; ../components/cost/CostValue; ../components/dashboard/DailyJobCards; ../lib/costSources; ../lib/pmSchedule; ../contexts/AuthContext; ../contexts/SettingsContext; ../components/expense/YearlyTrendPanel; ../contexts/TenantContext; ../contexts/LanguageContext; ../lib/formatters; ../lib/safeError; ../lib/analyticsEngine; react-chartjs-2; chart.js; lucide-react; ../components/ChartModal; ../components/EmptyState; ../components/ui/SegmentedControl; ../components/ui/DateField; ../components/ui/StatTile; ../components/ui/Gauge; ../components/ui/Skeleton; ../components/ui/Card","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"DashboardBuilder","src/pages/DashboardBuilder.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../contexts/AuthContext; ../contexts/SettingsContext; ../hooks/useSites; ../components/dashboard/WidgetRenderer; ../lib/dashboardBuilder; ../lib/api/savedViews; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"DataCleaning","src/pages/DataCleaning.jsx","P2 workflow review","Not end-to-end verified","react; ../lib/api; ../lib/useLatestRequest; ../contexts/AuthContext; ../contexts/SettingsContext; ../lib/tyreClassifier; lucide-react; ../components/ui/Skeleton; framer-motion; ../components/ui/PageHeader; ../lib/formatters; ../lib/safeError; ${filterSite}","Exercise primary action, denied access, scope change, error/retry and filtered export."
"DataDeletion","src/pages/DataDeletion.jsx","P2 workflow review","Not end-to-end verified","react","Exercise primary action, denied access, scope change, error/retry and filtered export."
"DataIntakeCenter","src/pages/DataIntakeCenter.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; lucide-react; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/import; ../lib/api/imports; ../lib/api/importHistory; ../lib/api/systemConfig; ../lib/import/diagnostics; ../lib/api/importDiagnostics; ./ProductionM3; ./ScoCosts; ./SanyInvoices; ./SitesIntake; ../components/intake/MappingProfilesManager; ../components/intake/DataLinkPanel; ../components/intake/CostControlPanel; ../components/intake/DataCompletenessPanel; ../components/intake/ImportTemplatePanel; ../components/intake/HeaderChangeDialog; ../components/intake/IntakeDiagnosticsPanel; ../lib/safeError; ../components/ui/TablePagination","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"DataIntakeHistory","src/pages/DataIntakeHistory.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/api/imports; ../lib/import/reconcile; ../lib/formatters; ../lib/safeError; ../components/ui/FilterBar; ../components/ui/TablePagination","Exercise primary action, denied access, scope change, error/retry and filtered export."
"DataReconciliation","src/pages/DataReconciliation.jsx","P2 workflow review","Not end-to-end verified","react; ../lib/api; ../lib/safeError; ../components/ui/PageHeader; ../components/EmptyState; ../components/ui/Skeleton; ../components/ui/FilterBar; ../components/ui/DateField; ../components/ui/TablePagination; ../hooks/useFilterState; ../components/reconciliation/BrandGapSection; ../components/reconciliation/TyreLearningSection; ../components/reconciliation/TyrePriceSection; ../components/reconciliation/JobcardDateSection; ../components/reconciliation/DupKeyTyresSection; ../components/reconciliation/SerialMultiAssetSection; ../components/reconciliation/FreetextTyreSection; ../components/reconciliation/TyreLifeCapSection; ../components/reconciliation/DataQualityScorecard; ../components/reconciliation/AssetMasterSection; ../components/reconciliation/DataTrustSection; lucide-react","Exercise primary action, denied access, scope change, error/retry and filtered export."
"DesignSystem","src/pages/DesignSystem.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/ui/EnterpriseTable","Exercise primary action, denied access, scope change, error/retry and filtered export."
"DeveloperPortal","src/pages/DeveloperPortal.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../components/ui/TablePagination; ../contexts/SettingsContext; ../lib/api/developerPortal; ../lib/developerPortal; ../lib/exportUtils; ../lib/safeError; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"DigitalTwin","src/pages/DigitalTwin.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/digitalTwin; ../lib/digitalTwin; ../lib/safeError; ../lib/tyreAge","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Dispatch","src/pages/Dispatch.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/dispatch; ../lib/dispatch; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"DisplayDashboard","src/pages/DisplayDashboard.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; lucide-react; ../lib/supabase; ../lib/fetchAll; ../lib/safeUrl; ../lib/safeError; ../contexts/TenantContext; ../lib/severity; ../lib/accidentVocab; ../components/ui/StatTile; ../lib/displayBoard; ../lib/api/pmPrograms; ../lib/api/workshopLive; ../lib/pmSchedule; ../components/charts/EChart; ../lib/displayCharts","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"DowntimeTracker","src/pages/DowntimeTracker.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; ../lib/supabase; ../lib/fetchAll; ../contexts/SettingsContext; chart.js; react-chartjs-2; lucide-react; ../components/StatCard; ../components/ui/PageHeader; ../components/ui/SegmentedControl; ../lib/exportUtils; ../contexts/TenantContext; ../contexts/LanguageContext; ../lib/safeError; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"DriverCoaching","src/pages/DriverCoaching.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/driverCoaching; ../lib/driverCoaching; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"DriverDetail","src/pages/DriverDetail.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; framer-motion; lucide-react; ../lib/supabase; ../lib/fetchAll; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/exportUtils; ../lib/safeError; ../components/EmptyState; ../components/LoadingState; ../components/workflow/EntityApprovalPanel","Exercise primary action, denied access, scope change, error/retry and filtered export."
"DriverDocuments","src/pages/DriverDocuments.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/driverDocuments; ../lib/driverDocuments; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"DriverExpenses","src/pages/DriverExpenses.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/formatters; ../lib/api/driverExpenses; ../lib/driverExpensesAnalytics; ../lib/safeError; ../lib/exportUtils; ../lib/reportColors; ../components/ui/TablePagination","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"DriverManagement","src/pages/DriverManagement.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; ../lib/supabase; ../lib/fetchAll; ../contexts/SettingsContext; ../lib/safeError; ../components/ui/PageHeader; ../components/EmptyState; lucide-react; react-router-dom; ../hooks/useFilterState; ../hooks/useScrollRestore; chart.js; react-chartjs-2","Exercise primary action, denied access, scope change, error/retry and filtered export."
"DriverSafety","src/pages/DriverSafety.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/EmailPdfButton; ../contexts/SettingsContext; ../lib/api/driverSafety; ../lib/driverSafety; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"DriverTraining","src/pages/DriverTraining.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/driverTraining; ../lib/driverTraining; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"DriverWorkspace","src/pages/DriverWorkspace.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; ../contexts/LanguageContext; ../components/ui/PageHeader; ../components/SignaturePad; ../lib/api/driverWorkspace; ../lib/driverWorkspace; ../lib/safeError; ../lib/driverWorkspaceCopy","Exercise primary action, denied access, scope change, error/retry and filtered export."
"DtcDiagnostics","src/pages/DtcDiagnostics.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../contexts/SettingsContext; ../lib/api/dtcCodes; ../lib/dtcCodes; ../lib/reportColors; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Dvir","src/pages/Dvir.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/dvir; ../lib/dvir; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Emissions","src/pages/Emissions.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/emissionsTests; ../lib/emissionsTests; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"EngineeringKpi","src/pages/EngineeringKpi.jsx","P2 workflow review","Not end-to-end verified","react; ../lib/api/engineeringKpi; ../lib/fetchAll; ../lib/safeError; ../contexts/SettingsContext; ../lib/api/costSummary; ../lib/api/governedCost; ../lib/costSources; ../lib/exportUtils; ../lib/kpiEngine; chart.js; react-chartjs-2; lucide-react; framer-motion; ../components/ui/PageHeader; ../components/ui/TablePagination; ../components/ui/DateField; ../components/trust/ExplainThisNumber; ../components/expense/YearlyTrendPanel; ../components/ui/SectionTabs; ../components/EmailReportModal","Exercise primary action, denied access, scope change, error/retry and filtered export."
"EngineHours","src/pages/EngineHours.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../contexts/SettingsContext; ../lib/api/engineHours; ../lib/engineHoursAnalytics; ../lib/reportColors; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Equipment","src/pages/Equipment.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; chart.js; react-chartjs-2; ../components/ui/PageHeader; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/api/equipment; ../lib/equipment; ../lib/reportColors; ../lib/safeError; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/api/_client","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"ErpImport","src/pages/ErpImport.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../contexts/AuthContext; ../contexts/SettingsContext; ../components/ui/PageHeader; ../lib/import; ../lib/erpImport; ../lib/api/erpImport; ../lib/api/production; ../lib/exportUtils; ../lib/api/systemConfig; ../lib/erpTemplates; ../lib/safeError; ../components/ui/TablePagination","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"ErpIntake","src/pages/ErpIntake.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/formatters; ../lib/safeError; ../lib/import/parseWorkbook; ../lib/erpIntake; ../lib/partsExpense; ../lib/api/partsConsumption; ../lib/api/erpIntake; ../lib/api/importHistory","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ErpSync","src/pages/ErpSync.jsx","P2 workflow review","Not end-to-end verified","react-router-dom; framer-motion; lucide-react; ../components/ui/PageHeader; ../contexts/LanguageContext; ../components/erp/ErpConnectionPanel; ../components/integrations/WebhooksPanel","Exercise primary action, denied access, scope change, error/retry and filtered export."
"EventStream","src/pages/EventStream.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../lib/api/domainEvents; date-fns; ../lib/formatters; ../lib/safeError; ../lib/useLatestRequest","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ExecutiveAnalytics","src/pages/ExecutiveAnalytics.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../lib/api; ../contexts/AuthContext; ../contexts/SettingsContext; ../components/ui/PageHeader; ../components/ui/DateField; ../components/ui/SectionTabs; ../components/ui/Skeleton; ../components/charts/EChart; ../components/charts/echartsTheme; ../lib/exportUtils; ../lib/formatters; ../lib/executiveAnalytics; ../lib/api/pmPrograms; ../lib/pmSchedule; ../lib/pmAnalytics","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ExecutiveReport","src/pages/ExecutiveReport.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/api; ../lib/safeError; ../components/EmailReportModal; ../lib/kpiEngine; ../contexts/SettingsContext; ../lib/countryFilter; ../lib/formatters; ../lib/analyticsEngine; ../lib/api/governedCost; ../lib/costSources; ../lib/exportUtils; ../lib/chartCapture; ../contexts/TenantContext; ../contexts/LanguageContext; ../components/ui/PageHeader; ../components/expense/YearlyTrendPanel; ../components/ui/PeriodFilter; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ExpenseImport","src/pages/ExpenseImport.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; ../components/ui/PageHeader; ../components/ui/FilterBar; ../components/ui/DateField; ../components/ui/TablePagination; ../hooks/useFilterState; ../contexts/SettingsContext; ../lib/formatters; ../lib/safeError; ../lib/import/parseWorkbook; ../lib/partsExpense; ../lib/api/partsConsumption","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ExpenseReport","src/pages/ExpenseReport.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/DateField; ../components/shell/ReportingScopeBar; ../lib/reportingScope; ../lib/reportingScopeQuery; ../contexts/SettingsContext; ../contexts/LanguageContext; ../contexts/AuthContext; ../lib/formatters; ../lib/api/partsConsumption; ../lib/boardScope; ../lib/api/tyreRecords; ../lib/api/expenseTrends; ../lib/tyreDemandForecast; ../components/tyre/TyreForecastSection; ../lib/fetchAll; ../lib/costCpk; ../components/expense/CostCpkPanels; ../components/expense/CostVariancePanel; ../lib/api/costVariance; ../lib/api/storeSiteExpense; ../lib/api/fleetCpk; ../lib/fleetCpkView; ../lib/reportColors; ../components/present/PresentationStudio; ../components/present/StudioBoundary; ../lib/exportUtils; ../lib/safeError; ../lib/defaultPeriod; ../components/expense/SiteOperatingCostPanel; ../lib/api/latestActivity; ../components/ui/PeriodNotice","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"ExpenseTrends","src/pages/ExpenseTrends.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/shell/ReportingScopeBar; ../contexts/SettingsContext; ../lib/api/expenseTrends; ../lib/expenseTrends; ../lib/reportingScope; ../lib/reportingScopeQuery; ../lib/safeError; ../lib/useLatestRequest; ../lib/exportUtils; ../lib/reportColors","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"FitmentValidation","src/pages/FitmentValidation.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../contexts/SettingsContext; ../lib/api/fitmentValidation; ../lib/fitmentValidation; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"FleetAnalytics","src/pages/FleetAnalytics.jsx","P2 workflow review","Not end-to-end verified","react; ../contexts/LanguageContext; ../lib/api/analyticsReads; ../contexts/SettingsContext; ../lib/analyticsEngine; ../lib/api/costSummary; lucide-react; ../components/ui/Skeleton; framer-motion; ../components/ui/PageHeader; ../components/ui/DateField; ../components/EmailPdfButton; ../components/ui/SectionTabs; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/safeError; ../lib/formatters; chart.js; react-chartjs-2","Exercise primary action, denied access, scope change, error/retry and filtered export."
"FleetGroups","src/pages/FleetGroups.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/fleetGroups; ../lib/fleetGroups; ../lib/formatters; ../lib/safeError; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"FleetHealthBoard","src/pages/FleetHealthBoard.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/supabase; ../lib/safeError; ../lib/fetchAll; ../lib/formatters; ../contexts/SettingsContext; ../contexts/AuthContext; ../components/ui/PageHeader; ../components/ui/SectionTabs; ../contexts/LanguageContext; ../lib/severity","Exercise primary action, denied access, scope change, error/retry and filtered export."
"FleetIntelligence","src/pages/FleetIntelligence.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../components/EmailReportModal; ../lib/supabase; ../lib/safeError; ../lib/fetchAll; ../lib/countryFilter; ../components/ui/PageHeader; ../components/ui/SectionTabs; ../components/ui/PeriodFilter; ../lib/kpiEngine; ../lib/exportUtils; ../contexts/SettingsContext; ../lib/formatters; ../contexts/LanguageContext","Exercise primary action, denied access, scope change, error/retry and filtered export."
"FleetMaster","src/pages/FleetMaster.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; ../hooks/useFilterState; ../hooks/useScrollRestore; ../lib/safeError; ../lib/api; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/exportUtils; ../lib/api/billing; lucide-react; ../components/ui/EnterpriseTable; ../components/illustrations; ../lib/brand/vehicleArt; ../hooks/useReportMeta; ../components/ui/PageHeader; ../components/CustomFieldsPanel","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"FleetOptimizer","src/pages/FleetOptimizer.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/fleetOptimizer; ../lib/fleetOptimizer; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"FleetRenewal","src/pages/FleetRenewal.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../contexts/SettingsContext; ../lib/api/fleetRenewal; ../lib/fleetRenewal; ../lib/fleetRenewalAnalytics; ../lib/formatters; ../lib/exportUtils; ../lib/safeError; ../lib/reportColors; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"FleetRiskScore","src/pages/FleetRiskScore.jsx","P2 workflow review","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/EmailPdfButton; ../contexts/SettingsContext; ../lib/fleetRisk; ../lib/api/fleetRisk; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination","Exercise primary action, denied access, scope change, error/retry and filtered export."
"FleetUtilization","src/pages/FleetUtilization.jsx","P1 candidate","Not end-to-end verified","react; ../components/ui/TablePagination; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/assetUtilization; ../lib/fleetUtilization; ../lib/safeError; ../lib/exportUtils; ../lib/reportColors","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"ForecastingEngine","src/pages/ForecastingEngine.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; lucide-react; ../components/EmailReportModal; chart.js; react-chartjs-2; ../lib/supabase; ../lib/safeError; ../lib/fetchAll; ../contexts/SettingsContext; ../lib/exportUtils; ../components/ui/PageHeader; ../lib/tyreDemandForecast; ../lib/forecastPeriod; ../components/tyre/TyreForecastSection","Exercise primary action, denied access, scope change, error/retry and filtered export."
"FuelCards","src/pages/FuelCards.jsx","P1 candidate","Not end-to-end verified","react; ../components/ui/TablePagination; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/fuelCards; ../lib/fuelCards; ../lib/formatters; ../lib/safeError; ../lib/exportUtils","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"FuelDelivery","src/pages/FuelDelivery.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/fuelDeliveries; ../lib/fuelDeliveryAnalytics; ../lib/safeError; ../lib/formatters; ../lib/exportUtils; ../lib/reportColors; ../components/ui/TablePagination","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"FuelEfficiency","src/pages/FuelEfficiency.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/supabase; ../lib/safeError; ../lib/fetchAll; ../contexts/SettingsContext; ../contexts/TenantContext; ../contexts/LanguageContext; ../lib/formatters; ../lib/exportUtils; ../components/ui/PageHeader; ../components/workflow/EntityApprovalPanel; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"FuelTheftAlerts","src/pages/FuelTheftAlerts.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/fuelTheftAlerts; ../lib/fuelTheftAlerts; ../lib/formatters; ../lib/safeError; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
